Model,MDO34
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,0.431
Sample Interval,0.001
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,200
Vertical Units,V
Vertical Offset,0
Vertical Scale,200
Vertical Position,0.02
,
,
,
Label,UL31
TIME,CH3
-6.90e-02,4
-6.80e-02,-4
-6.70e-02,-4
-6.60e-02,4
-6.50e-02,4
-6.40e-02,-4
-6.30e-02,4
-6.20e-02,-4
-6.10e-02,-4
-6.00e-02,4
-5.90e-02,4
-5.80e-02,4
-5.70e-02,-4
-5.60e-02,4
-5.50e-02,-4
-5.40e-02,-4
-5.30e-02,12
-5.20e-02,4
-5.10e-02,-4
-5.00e-02,-4
-4.90e-02,4
-4.80e-02,4
-4.70e-02,4
-4.60e-02,-4
-4.50e-02,4
-4.40e-02,4
-4.30e-02,4
-4.20e-02,-4
-4.10e-02,-4
-4.00e-02,4
-3.90e-02,4
-3.80e-02,4
-3.70e-02,4
-3.60e-02,12
-3.50e-02,-4
-3.40e-02,-4
-3.30e-02,-4
-3.20e-02,-4
-3.10e-02,4
-3.00e-02,4
-2.90e-02,4
-2.80e-02,4
-2.70e-02,-4
-2.60e-02,-4
-2.50e-02,4
-2.40e-02,4
-2.30e-02,4
-2.20e-02,-4
-2.10e-02,-4
-2.00e-02,-4
-1.90e-02,4
-1.80e-02,4
-1.70e-02,4
-1.60e-02,-4
-1.50e-02,4
-1.40e-02,4
-1.30e-02,4
-1.20e-02,4
-1.10e-02,-4
-1.00e-02,4
-9.00e-03,-4
-8.00e-03,4
-7.00e-03,4
-6.00e-03,4
-5.00e-03,4
-4.00e-03,-4
-3.00e-03,4
-2.00e-03,4
-1.00e-03,4
0.00e+00,4
1.00e-03,-4
2.00e-03,12
3.00e-03,4
4.00e-03,4
5.00e-03,4
6.00e-03,-4
7.00e-03,4
8.00e-03,-4
9.00e-03,4
1.00e-02,-4
1.10e-02,4
1.20e-02,4
1.30e-02,-4
1.40e-02,-4
1.50e-02,-4
1.60e-02,-4
1.70e-02,4
1.80e-02,-4
1.90e-02,-4
2.00e-02,4
2.10e-02,4
2.20e-02,4
2.30e-02,4
2.40e-02,-4
2.50e-02,4
2.60e-02,4
2.70e-02,12
2.80e-02,4
2.90e-02,4
3.00e-02,4
3.10e-02,-4
3.20e-02,-4
3.30e-02,4
3.40e-02,4
3.50e-02,4
3.60e-02,-4
3.70e-02,-4
3.80e-02,4
3.90e-02,4
4.00e-02,4
4.10e-02,4
4.20e-02,4
4.30e-02,4
4.40e-02,-4
4.50e-02,4
4.60e-02,4
4.70e-02,-4
4.80e-02,12
4.90e-02,4
5.00e-02,-4
5.10e-02,4
5.20e-02,4
5.30e-02,4
5.40e-02,4
5.50e-02,-4
5.60e-02,4
5.70e-02,4
5.80e-02,-4
5.90e-02,4
6.00e-02,4
6.10e-02,4
6.20e-02,4
6.30e-02,-4
6.40e-02,4
6.50e-02,4
6.60e-02,4
6.70e-02,-4
6.80e-02,4
6.90e-02,12
7.00e-02,4
7.10e-02,4
7.20e-02,4
7.30e-02,4
7.40e-02,4
7.50e-02,-4
7.60e-02,-4
7.70e-02,-4
7.80e-02,-4
7.90e-02,4
8.00e-02,4
8.10e-02,-4
8.20e-02,4
8.30e-02,4
8.40e-02,4
8.50e-02,4
8.60e-02,4
8.70e-02,4
8.80e-02,4
8.90e-02,4
9.00e-02,4
9.10e-02,-4
9.20e-02,4
9.30e-02,4
9.40e-02,4
9.50e-02,4
9.60e-02,-4
9.70e-02,4
9.80e-02,-4
9.90e-02,-4
1.00e-01,4
1.01e-01,4
1.02e-01,4
1.03e-01,4
1.04e-01,-4
1.05e-01,292
1.06e-01,180
1.07e-01,12
1.08e-01,388
1.09e-01,236
1.10e-01,52
1.11e-01,-108
1.12e-01,276
1.13e-01,116
1.14e-01,-44
1.15e-01,332
1.16e-01,172
1.17e-01,4
1.18e-01,-180
1.19e-01,228
1.20e-01,60
1.21e-01,-108
1.22e-01,276
1.23e-01,116
1.24e-01,-36
1.25e-01,68
1.26e-01,164
1.27e-01,12
1.28e-01,-172
1.29e-01,228
1.30e-01,52
1.31e-01,-100
1.32e-01,276
1.33e-01,116
1.34e-01,-44
1.35e-01,348
1.36e-01,172
1.37e-01,4
1.38e-01,-172
1.39e-01,228
1.40e-01,52
1.41e-01,-108
1.42e-01,276
1.43e-01,116
1.44e-01,-36
1.45e-01,372
1.46e-01,172
1.47e-01,12
1.48e-01,-164
1.49e-01,228
1.50e-01,52
1.51e-01,-100
1.52e-01,276
1.53e-01,116
1.54e-01,-36
1.55e-01,388
1.56e-01,172
1.57e-01,12
1.58e-01,-164
1.59e-01,228
1.60e-01,60
1.61e-01,-100
1.62e-01,276
1.63e-01,116
1.64e-01,-36
1.65e-01,364
1.66e-01,180
1.67e-01,12
1.68e-01,-164
1.69e-01,228
1.70e-01,68
1.71e-01,-92
1.72e-01,276
1.73e-01,116
1.74e-01,-44
1.75e-01,332
1.76e-01,180
1.77e-01,12
1.78e-01,-164
1.79e-01,228
1.80e-01,68
1.81e-01,-92
1.82e-01,276
1.83e-01,124
1.84e-01,-36
1.85e-01,316
1.86e-01,188
1.87e-01,12
1.88e-01,-156
1.89e-01,228
1.90e-01,68
1.91e-01,-92
1.92e-01,292
1.93e-01,124
1.94e-01,-36
1.95e-01,324
1.96e-01,188
1.97e-01,20
1.98e-01,-156
1.99e-01,236
2.00e-01,68
2.01e-01,-84
2.02e-01,292
2.03e-01,124
2.04e-01,-28
2.05e-01,340
2.06e-01,188
2.07e-01,20
2.08e-01,84
2.09e-01,236
2.10e-01,68
2.11e-01,-92
2.12e-01,284
2.13e-01,132
2.14e-01,-28
2.15e-01,348
2.16e-01,188
2.17e-01,20
2.18e-01,140
2.19e-01,244
2.20e-01,68
2.21e-01,-84
2.22e-01,284
2.23e-01,124
2.24e-01,-28
2.25e-01,356
2.26e-01,188
2.27e-01,20
2.28e-01,260
2.29e-01,244
2.30e-01,68
2.31e-01,-76
2.32e-01,284
2.33e-01,132
2.34e-01,-28
2.35e-01,348
2.36e-01,188
2.37e-01,20
2.38e-01,396
2.39e-01,244
2.40e-01,68
2.41e-01,-84
2.42e-01,292
2.43e-01,132
2.44e-01,-20
2.45e-01,348
2.46e-01,196
2.47e-01,28
2.48e-01,452
2.49e-01,244
2.50e-01,68
2.51e-01,-84
2.52e-01,292
2.53e-01,132
2.54e-01,-28
2.55e-01,356
2.56e-01,196
2.57e-01,28
2.58e-01,428
2.59e-01,244
2.60e-01,76
2.61e-01,-84
2.62e-01,300
2.63e-01,140
2.64e-01,-28
2.65e-01,356
2.66e-01,196
2.67e-01,36
2.68e-01,388
2.69e-01,244
2.70e-01,76
2.71e-01,-76
2.72e-01,300
2.73e-01,148
2.74e-01,-28
2.75e-01,356
2.76e-01,196
2.77e-01,20
2.78e-01,372
2.79e-01,252
2.80e-01,84
2.81e-01,-68
2.82e-01,292
2.83e-01,140
2.84e-01,-20
2.85e-01,356
2.86e-01,196
2.87e-01,36
2.88e-01,380
2.89e-01,252
2.90e-01,76
2.91e-01,140
2.92e-01,300
2.93e-01,140
2.94e-01,-20
2.95e-01,356
2.96e-01,204
2.97e-01,28
2.98e-01,396
2.99e-01,252
3.00e-01,92
3.01e-01,212
3.02e-01,300
3.03e-01,140
3.04e-01,-12
3.05e-01,364
3.06e-01,204
3.07e-01,36
3.08e-01,404
3.09e-01,252
3.10e-01,76
3.11e-01,316
3.12e-01,300
3.13e-01,148
3.14e-01,-20
3.15e-01,364
3.16e-01,204
3.17e-01,36
3.18e-01,396
3.19e-01,252
3.20e-01,92
3.21e-01,252
3.22e-01,308
3.23e-01,148
3.24e-01,-12
3.25e-01,364
3.26e-01,204
3.27e-01,36
3.28e-01,404
3.29e-01,260
3.30e-01,92
3.31e-01,284
3.32e-01,300
3.33e-01,148
3.34e-01,-12
3.35e-01,364
3.36e-01,204
3.37e-01,36
3.38e-01,404
3.39e-01,260
3.40e-01,92
3.41e-01,268
3.42e-01,308
3.43e-01,148
3.44e-01,-12
3.45e-01,356
3.46e-01,204
3.47e-01,44
3.48e-01,404
3.49e-01,260
3.50e-01,92
3.51e-01,308
3.52e-01,300
3.53e-01,156
3.54e-01,-12
3.55e-01,364
3.56e-01,204
3.57e-01,36
3.58e-01,404
3.59e-01,260
3.60e-01,92
3.61e-01,252
3.62e-01,308
3.63e-01,164
3.64e-01,-12
3.65e-01,364
3.66e-01,204
3.67e-01,44
3.68e-01,404
3.69e-01,260
3.70e-01,92
3.71e-01,236
3.72e-01,316
3.73e-01,148
3.74e-01,-12
3.75e-01,364
3.76e-01,212
3.77e-01,36
3.78e-01,404
3.79e-01,260
3.80e-01,100
3.81e-01,244
3.82e-01,308
3.83e-01,156
3.84e-01,-4
3.85e-01,364
3.86e-01,212
3.87e-01,44
3.88e-01,404
3.89e-01,260
3.90e-01,100
3.91e-01,236
3.92e-01,308
3.93e-01,156
3.94e-01,-12
3.95e-01,372
3.96e-01,220
3.97e-01,44
3.98e-01,404
3.99e-01,260
4.00e-01,92
4.01e-01,228
4.02e-01,308
4.03e-01,156
4.04e-01,-4
4.05e-01,372
4.06e-01,220
4.07e-01,44
4.08e-01,396
4.09e-01,268
4.10e-01,100
4.11e-01,164
4.12e-01,308
4.13e-01,156
4.14e-01,-4
4.15e-01,364
4.16e-01,220
4.17e-01,44
4.18e-01,420
4.19e-01,260
4.20e-01,108
4.21e-01,-60
4.22e-01,316
4.23e-01,164
4.24e-01,-4
4.25e-01,372
4.26e-01,220
4.27e-01,44
4.28e-01,484
4.29e-01,276
4.30e-01,108
4.31e-01,-60
4.32e-01,324
4.33e-01,164
4.34e-01,-12
4.35e-01,380
4.36e-01,228
4.37e-01,44
4.38e-01,156
4.39e-01,268
4.40e-01,100
4.41e-01,-60
4.42e-01,316
4.43e-01,164
4.44e-01,-4
4.45e-01,380
4.46e-01,220
4.47e-01,52
4.48e-01,204
4.49e-01,276
4.50e-01,108
4.51e-01,-60
4.52e-01,324
4.53e-01,172
4.54e-01,-4
4.55e-01,396
4.56e-01,228
4.57e-01,52
4.58e-01,-124
4.59e-01,268
4.60e-01,108
4.61e-01,-52
4.62e-01,332
4.63e-01,164
4.64e-01,4
4.65e-01,372
4.66e-01,228
4.67e-01,52
4.68e-01,-116
4.69e-01,276
4.70e-01,108
4.71e-01,-52
4.72e-01,324
4.73e-01,172
4.74e-01,-4
4.75e-01,356
4.76e-01,236
4.77e-01,52
4.78e-01,-116
4.79e-01,284
4.80e-01,116
4.81e-01,-52
4.82e-01,332
4.83e-01,172
4.84e-01,4
4.85e-01,348
4.86e-01,236
4.87e-01,52
4.88e-01,-116
4.89e-01,276
4.90e-01,116
4.91e-01,-52
4.92e-01,332
4.93e-01,172
4.94e-01,-4
4.95e-01,356
4.96e-01,236
4.97e-01,52
4.98e-01,-116
4.99e-01,292
5.00e-01,108
5.01e-01,-52
5.02e-01,332
5.03e-01,172
5.04e-01,4
5.05e-01,348
5.06e-01,236
5.07e-01,60
5.08e-01,-108
5.09e-01,284
5.10e-01,116
5.11e-01,-52
5.12e-01,332
5.13e-01,180
5.14e-01,4
5.15e-01,348
5.16e-01,236
5.17e-01,60
5.18e-01,-108
5.19e-01,284
5.20e-01,116
5.21e-01,-44
5.22e-01,340
5.23e-01,180
5.24e-01,4
5.25e-01,348
5.26e-01,244
5.27e-01,76
5.28e-01,-108
5.29e-01,276
5.30e-01,116
5.31e-01,-36
5.32e-01,340
5.33e-01,180
5.34e-01,4
5.35e-01,348
5.36e-01,244
5.37e-01,60
5.38e-01,-108
5.39e-01,276
5.40e-01,116
5.41e-01,-44
5.42e-01,340
5.43e-01,180
5.44e-01,12
5.45e-01,356
5.46e-01,244
5.47e-01,68
5.48e-01,-108
5.49e-01,276
5.50e-01,116
5.51e-01,-36
5.52e-01,340
5.53e-01,180
5.54e-01,-4
5.55e-01,356
5.56e-01,236
5.57e-01,60
5.58e-01,-100
5.59e-01,292
5.60e-01,124
5.61e-01,-36
5.62e-01,340
5.63e-01,180
5.64e-01,12
5.65e-01,364
5.66e-01,244
5.67e-01,68
5.68e-01,-100
5.69e-01,292
5.70e-01,116
5.71e-01,-44
5.72e-01,340
5.73e-01,188
5.74e-01,12
5.75e-01,356
5.76e-01,244
5.77e-01,68
5.78e-01,-100
5.79e-01,284
5.80e-01,124
5.81e-01,-36
5.82e-01,348
5.83e-01,180
5.84e-01,12
5.85e-01,348
5.86e-01,244
5.87e-01,68
5.88e-01,-100
5.89e-01,300
5.90e-01,124
5.91e-01,-36
5.92e-01,340
5.93e-01,188
5.94e-01,12
5.95e-01,364
5.96e-01,244
5.97e-01,76
5.98e-01,-92
5.99e-01,292
6.00e-01,132
6.01e-01,-28
6.02e-01,348
6.03e-01,188
6.04e-01,20
6.05e-01,380
6.06e-01,252
6.07e-01,68
6.08e-01,-92
6.09e-01,292
6.10e-01,124
6.11e-01,-36
6.12e-01,348
6.13e-01,188
6.14e-01,12
6.15e-01,396
6.16e-01,252
6.17e-01,76
6.18e-01,-92
6.19e-01,300
6.20e-01,132
6.21e-01,-36
6.22e-01,340
6.23e-01,196
6.24e-01,12
6.25e-01,388
6.26e-01,244
6.27e-01,76
6.28e-01,-84
6.29e-01,300
6.30e-01,132
6.31e-01,-28
6.32e-01,348
6.33e-01,196
6.34e-01,20
6.35e-01,404
6.36e-01,252
6.37e-01,84
6.38e-01,-92
6.39e-01,300
6.40e-01,132
6.41e-01,-28
6.42e-01,348
6.43e-01,196
6.44e-01,20
6.45e-01,428
6.46e-01,252
6.47e-01,76
6.48e-01,-92
6.49e-01,292
6.50e-01,132
6.51e-01,-36
6.52e-01,348
6.53e-01,204
6.54e-01,20
6.55e-01,444
6.56e-01,252
6.57e-01,76
6.58e-01,-84
6.59e-01,292
6.60e-01,132
6.61e-01,-28
6.62e-01,348
6.63e-01,204
6.64e-01,20
6.65e-01,380
6.66e-01,260
6.67e-01,76
6.68e-01,-84
6.69e-01,300
6.70e-01,140
6.71e-01,-28
6.72e-01,356
6.73e-01,196
6.74e-01,28
6.75e-01,452
6.76e-01,260
6.77e-01,76
6.78e-01,-84
6.79e-01,308
6.80e-01,132
6.81e-01,-20
6.82e-01,356
6.83e-01,196
6.84e-01,28
6.85e-01,588
6.86e-01,252
6.87e-01,84
6.88e-01,-92
6.89e-01,308
6.90e-01,140
6.91e-01,-20
6.92e-01,364
6.93e-01,196
6.94e-01,20
6.95e-01,372
6.96e-01,260
6.97e-01,84
6.98e-01,-84
6.99e-01,308
7.00e-01,140
7.01e-01,-20
7.02e-01,356
7.03e-01,204
7.04e-01,28
7.05e-01,412
7.06e-01,260
7.07e-01,84
7.08e-01,-76
7.09e-01,300
7.10e-01,140
7.11e-01,-20
7.12e-01,372
7.13e-01,204
7.14e-01,20
7.15e-01,-140
7.16e-01,260
7.17e-01,84
7.18e-01,-84
7.19e-01,628
7.20e-01,140
7.21e-01,-20
7.22e-01,204
7.23e-01,204
7.24e-01,28
7.25e-01,252
7.26e-01,268
7.27e-01,92
7.28e-01,36
7.29e-01,300
7.30e-01,140
7.31e-01,-20
7.32e-01,556
7.33e-01,212
7.34e-01,28
7.35e-01,108
7.36e-01,260
7.37e-01,84
7.38e-01,-76
7.39e-01,308
7.40e-01,148
7.41e-01,-20
7.42e-01,492
7.43e-01,196
7.44e-01,28
7.45e-01,108
7.46e-01,260
7.47e-01,92
7.48e-01,-84
7.49e-01,316
7.50e-01,148
7.51e-01,-12
7.52e-01,460
7.53e-01,212
7.54e-01,36
7.55e-01,84
7.56e-01,268
7.57e-01,84
7.58e-01,-84
7.59e-01,308
7.60e-01,148
7.61e-01,-12
7.62e-01,460
7.63e-01,204
7.64e-01,36
7.65e-01,84
7.66e-01,268
7.67e-01,92
7.68e-01,-76
7.69e-01,316
7.70e-01,148
7.71e-01,-12
7.72e-01,452
7.73e-01,220
7.74e-01,44
7.75e-01,60
7.76e-01,268
7.77e-01,92
7.78e-01,-84
7.79e-01,316
7.80e-01,156
7.81e-01,-12
7.82e-01,588
7.83e-01,212
7.84e-01,36
7.85e-01,68
7.86e-01,268
7.87e-01,100
7.88e-01,-84
7.89e-01,316
7.90e-01,148
7.91e-01,-12
7.92e-01,388
7.93e-01,220
7.94e-01,36
7.95e-01,4
7.96e-01,268
7.97e-01,84
7.98e-01,-68
7.99e-01,316
8.00e-01,164
8.01e-01,-12
8.02e-01,372
8.03e-01,212
8.04e-01,28
8.05e-01,372
8.06e-01,268
8.07e-01,100
8.08e-01,-68
8.09e-01,316
8.10e-01,156
8.11e-01,-12
8.12e-01,340
8.13e-01,212
8.14e-01,36
8.15e-01,-60
8.16e-01,268
8.17e-01,100
8.18e-01,-60
8.19e-01,316
8.20e-01,156
8.21e-01,-12
8.22e-01,564
8.23e-01,212
8.24e-01,44
8.25e-01,20
8.26e-01,268
8.27e-01,100
